article,word,n,total,tf,idf,tf_idf
Article 5,the,223,3386,0.06585942114589487,0,0
Article 12,the,158,2243,0.07044137316094516,0,0
Article 5,and,115,3386,0.03396337861783816,0,0
Article 9,the,115,1656,0.06944444444444445,0,0
Article 3,the,93,1808,0.05143805309734513,0,0
Article 4,the,93,1582,0.058786346396965866,0,0
Article 5,of,93,3386,0.02746603662138216,0,0
Article 2,the,89,1589,0.05601006922592826,0,0
Article 5,to,84,3386,0.024808033077377438,0,0
Article 12,of,70,2243,0.03120820329915292,0,0
Article 11,the,66,1460,0.045205479452054796,0,0
Article 4,to,63,1582,0.03982300884955752,0,0
Article 12,in,61,2243,0.02719572001783326,0,0
Article 11,to,60,1460,0.0410958904109589,0,0
Article 5,a,60,3386,0.01772002362669817,0,0
Article 9,of,60,1656,0.036231884057971016,0,0
Article 2,to,59,1589,0.037130270610446825,0,0
Article 6,the,59,1056,0.05587121212121212,0,0
Article 8,the,58,800,0.0725,0,0
Article 3,to,57,1808,0.03152654867256637,0,0
Article 5,in,53,3386,0.015652687536916714,0,0
Article 7,the,52,1277,0.04072043852779953,0,0
Article 6,to,51,1056,0.048295454545454544,0,0
Article 3,of,49,1808,0.027101769911504425,0,0
Article 12,to,48,2243,0.02139991083370486,0,0
Article 3,a,48,1808,0.02654867256637168,0,0
Article 2,of,47,1589,0.02957835116425425,0,0
Article 12,that,46,2243,0.02050824788230049,0,0
Article 12,is,45,2243,0.020062416406598307,0,0
Article 5,that,45,3386,0.013290017720023627,0,0
Article 9,in,45,1656,0.02717391304347826,0,0
Article 1,the,44,725,0.060689655172413794,0,0
Article 12,a,44,2243,0.01961658493089612,0,0
Article 4,of,43,1582,0.02718078381795196,0,0
Article 7,and,43,1277,0.033672670321064996,0,0
Article 12,and,42,2243,0.018724921979491754,0,0
Article 10,the,41,731,0.0560875512995896,0,0
Article 11,climate,40,1460,0.0273972602739726,0,0
Article 2,and,40,1589,0.025173064820641914,0,0
Article 7,to,40,1277,0.031323414252153486,0,0
Article 9,a,40,1656,0.024154589371980676,0,0
Article 2,a,39,1589,0.024543738200125866,0,0
Article 3,and,39,1808,0.02157079646017699,0,0
Article 2,climate,38,1589,0.02391441157960982,0,0
Article 11,of,37,1460,0.025342465753424658,0,0
Article 3,in,36,1808,0.01991150442477876,0,0
Article 9,and,36,1656,0.021739130434782608,0,0
Article 9,climate,36,1656,0.021739130434782608,0,0
Article 2,in,33,1589,0.02076777847702958,0,0
Article 5,was,33,3386,0.009746012994683993,0.28768207245178085,0.0028037532164526782
Article 7,of,33,1277,0.025841816758026624,0,0
Article 4,and,32,1582,0.020227560050568902,0,0
Article 7,a,32,1277,0.025058731401722788,0,0
Article 8,of,32,800,0.04,0,0
Article 8,to,32,800,0.04,0,0
Article 1,to,31,725,0.04275862068965517,0,0
Article 11,in,31,1460,0.021232876712328767,0,0
Article 5,climate,31,3386,0.00915534554046072,0,0
Article 9,that,31,1656,0.018719806763285024,0,0
Article 5,for,30,3386,0.008860011813349085,0,0
