names,word,n,total,tf,idf,tf_idf
Article 10,building,18,1234,0.026706231454005934,2.302585092994046,0.06149337043604277
Article 10,rice,15,1234,0.02225519287833828,1.6094379124341003,0.035818351166931016
Article 1,climate,13,760,0.0325,0,0
Article 10,million,12,1234,0.017804154302670624,1.2039728043259361,0.021435717584438033
Article 4,climate,12,634,0.040268456375838924,0,0
Article 6,people,12,850,0.03116883116883117,0.5108256237659907,0.015921837623875036
Article 8,woolf,12,1046,0.02330097087378641,2.302585092994046,0.05365246818626903
Article 9,transportation,12,897,0.02531645569620253,1.6094379124341003,0.04074526360592659
Article 5,change,11,759,0.02756892230576441,0,0
Article 6,migration,11,850,0.02857142857142857,2.302585092994046,0.06578814551411559
Article 9,climate,11,897,0.023206751054852322,0,0
Article 10,campus,10,1234,0.01483679525222552,2.302585092994046,0.034162983575579314
Article 10,research,10,1234,0.01483679525222552,0.9162907318741551,0.013594817980328711
Article 10,students,10,1234,0.01483679525222552,2.302585092994046,0.034162983575579314
Article 5,climate,10,759,0.02506265664160401,0,0
Article 6,climate,10,850,0.025974025974025976,0,0
Article 9,virginia,10,897,0.02109704641350211,1.2039728043259361,0.025400270133458566
Article 10,center,9,1234,0.013353115727002967,1.6094379124341003,0.02149101070015861
Article 10,vcu,9,1234,0.013353115727002967,2.302585092994046,0.030746685218021385
Article 6,level,9,850,0.023376623376623377,1.2039728043259361,0.028144818802424483
Article 9,pollution,9,897,0.0189873417721519,1.2039728043259361,0.02286024312011271
Article 1,change,8,760,0.02,0,0
Article 1,li,8,760,0.02,2.302585092994046,0.04605170185988092
Article 10,climate,8,1234,0.011869436201780416,0,0
Article 10,facility,8,1234,0.011869436201780416,2.302585092994046,0.027330386860463452
Article 10,rivers,8,1234,0.011869436201780416,2.302585092994046,0.027330386860463452
Article 10,water,8,1234,0.011869436201780416,1.2039728043259361,0.014290478389625355
Article 2,climate,8,931,0.016632016632016633,0,0
Article 6,change,8,850,0.02077922077922078,0,0
Article 6,sea,8,850,0.02077922077922078,0.6931471805599453,0.014403058297349513
Article 7,climate,8,921,0.020942408376963352,0,0
Article 8,crops,8,1046,0.015533980582524271,1.6094379124341003,0.02500097728052971
Article 8,land,8,1046,0.015533980582524271,0.9162907318741551,0.014233642436880078
Article 8,water,8,1046,0.015533980582524271,1.2039728043259361,0.018702490164286385
Article 9,emissions,8,897,0.016877637130801686,0.6931471805599453,0.011698686591729034
Article 10,7,7,1234,0.010385756676557863,1.6094379124341003,0.016715230544567805
Article 10,acre,7,1234,0.010385756676557863,1.6094379124341003,0.016715230544567805
Article 10,change,7,1234,0.010385756676557863,0,0
Article 10,city,7,1234,0.010385756676557863,1.2039728043259361,0.012504168590922184
Article 10,lab,7,1234,0.010385756676557863,2.302585092994046,0.02391408850290552
Article 10,wooded,7,1234,0.010385756676557863,2.302585092994046,0.02391408850290552
Article 2,godfrey,7,931,0.014553014553014554,2.302585092994046,0.03350955436789672
Article 2,hurricane,7,931,0.014553014553014554,1.6094379124341003,0.023422173361826823
Article 3,canada,7,835,0.017114914425427872,2.302585092994046,0.03940854682385898
Article 5,salas,7,759,0.017543859649122806,2.302585092994046,0.040396229701649924
Article 6,analysis,7,850,0.01818181818181818,1.6094379124341003,0.029262507498801823
Article 7,19,7,921,0.01832460732984293,1.6094379124341003,0.02949231776711702
Article 7,covid,7,921,0.01832460732984293,1.2039728043259361,0.022062328875082596
Article 8,acres,7,1046,0.013592233009708738,1.2039728043259361,0.016364678893750588
Article 8,farms,7,1046,0.013592233009708738,1.6094379124341003,0.0218758551204635
Article 9,change,7,897,0.014767932489451477,0,0
Article 10,500,6,1234,0.008902077151335312,1.6094379124341003,0.014327340466772406
Article 10,charles,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
Article 10,county,6,1234,0.008902077151335312,1.2039728043259361,0.010717858792219016
Article 10,faculty,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
Article 10,final,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
Article 10,garman,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
Article 10,greenhouse,6,1234,0.008902077151335312,0.5108256237659907,0.0045474091136438344
Article 10,office,6,1234,0.008902077151335312,1.6094379124341003,0.014327340466772406
Article 10,primary,6,1234,0.008902077151335312,1.2039728043259361,0.010717858792219016
Article 10,study,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
Article 10,vcu's,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
Article 10,wildlife,6,1234,0.008902077151335312,2.302585092994046,0.02049779014534759
