"","articles","word","n","total","tf","idf","tf_idf"
"1","LATimes8","drought",21,1088,0.0364583333333333,0.693147180559945,0.0252709909579147
"2","LATimes1","water",19,856,0.0457831325301205,0.916290731874155,0.0419506600135155
"3","LATimes9","fire",19,1279,0.0315614617940199,1.20397280432594,0.0379991416647721
"4","LATimes3","climate",15,766,0.045045045045045,0,0
"5","LATimes1","drought",14,856,0.0337349397590361,0.693147180559945,0.0233832783803355
"6","LATimes8","water",14,1088,0.0243055555555556,0.916290731874155,0.0222709552886079
"7","LATimes1","california",12,856,0.0289156626506024,0.510825623765991,0.0147708614101009
"8","LATimes10","heat",11,653,0.0327380952380952,0.693147180559945,0.0226923184111887
"9","LATimes4","lands",11,1068,0.0219560878243513,2.30258509299405,0.0505557605248194
"10","LATimes4","public",11,1068,0.0219560878243513,0.916290731874155,0.0201181597816681
"11","LATimes9","california",11,1279,0.0182724252491694,0.510825623765991,0.00933402302562442
"12","LATimes2","climate",10,777,0.0289017341040462,0,0
"13","LATimes4","summer",10,1068,0.0199600798403194,0.693147180559945,0.0138352730650688
"14","LATimes4","wilkins",10,1068,0.0199600798403194,2.30258509299405,0.0459597822952903
"15","LATimes5","climate",10,848,0.021551724137931,0,0
"16","LATimes6","change",10,886,0.0232558139534884,0,0
"17","LATimes8","climate",10,1088,0.0173611111111111,0,0
"18","LATimes4","park",9,1068,0.0179640718562874,1.6094379124341,0.0289120583071994
"19","LATimes6","climate",9,886,0.0209302325581395,0,0
"20","LATimes7","climate",9,651,0.0271084337349398,0,0
"21","LATimes8","droughts",9,1088,0.015625,1.6094379124341,0.0251474673817828
"22","LATimes8","heat",9,1088,0.015625,0.693147180559945,0.0108304246962491
"23","LATimes1","climate",8,856,0.0192771084337349,0,0
"24","LATimes1","precipitation",8,856,0.0192771084337349,0.916290731874155,0.0176634357951644
"25","LATimes10","climate",8,653,0.0238095238095238,0,0
"26","LATimes4","national",8,1068,0.0159680638722555,0.510825623765991,0.00815689618788009
"27","LATimes4","visitation",8,1068,0.0159680638722555,2.30258509299405,0.0367678258362323
"28","LATimes5","department",8,848,0.0172413793103448,0.916290731874155,0.0157981160667958
"29","LATimes5","greenhouse",8,848,0.0172413793103448,1.20397280432594,0.020758151798723
"30","LATimes6","investors",8,886,0.0186046511627907,2.30258509299405,0.0428387924277962
"31","LATimes8","change",8,1088,0.0138888888888889,0,0
"32","LATimes9","fires",8,1279,0.0132890365448505,1.6094379124341,0.0213878792350047
"33","LATimes10","change",7,653,0.0208333333333333,0,0
"34","LATimes10","record",7,653,0.0208333333333333,0.693147180559945,0.0144405662616655
"35","LATimes2","change",7,777,0.0202312138728324,0,0
"36","LATimes3","report",7,766,0.021021021021021,0.693147180559945,0.0145706614532121
"37","LATimes5","change",7,848,0.0150862068965517,0,0
"38","LATimes5","defense",7,848,0.0150862068965517,2.30258509299405,0.034737275109824
"39","LATimes5","emissions",7,848,0.0150862068965517,0.693147180559945,0.0104569617756888
"40","LATimes5","military",7,848,0.0150862068965517,2.30258509299405,0.034737275109824
"41","LATimes5","pentagon",7,848,0.0150862068965517,2.30258509299405,0.034737275109824
"42","LATimes7","change",7,651,0.0210843373493976,0,0
"43","LATimes8","colorado",7,1088,0.0121527777777778,0.916290731874155,0.011135477644304
"44","LATimes8","conditions",7,1088,0.0121527777777778,0.916290731874155,0.011135477644304
"45","LATimes8","river",7,1088,0.0121527777777778,1.20397280432594,0.014631613941461
"46","LATimes8","u.s",7,1088,0.0121527777777778,0.510825623765991,0.0062079502888228
